      Step     Time          Energy          fmax
FIRE:    0 15:54:05      250.513773      145.704696
FIRE:    1 15:54:05      186.504876       97.124249
FIRE:    2 15:54:05      140.383082       67.170103
FIRE:    3 15:54:05      106.766022       53.199264
FIRE:    4 15:54:05       82.147364       39.943372
FIRE:    5 15:54:05       64.016792       29.564908
FIRE:    6 15:54:05       50.521361       27.277464
FIRE:    7 15:54:05       40.368820       23.662237
FIRE:    8 15:54:05       32.721932       19.217612
FIRE:    9 15:54:06       27.071846       14.638048
FIRE:   10 15:54:06       23.042830       10.521443
FIRE:   11 15:54:06       20.266701       10.700821
FIRE:   12 15:54:06       18.362993       11.817777
FIRE:   13 15:54:06       16.998988       11.714498
FIRE:   14 15:54:06       15.948682       10.388006
FIRE:   15 15:54:06       15.071556        9.471098
FIRE:   16 15:54:06       14.241717       10.456579
FIRE:   17 15:54:06       13.357961       10.120615
FIRE:   18 15:54:06       12.431523        8.642366
FIRE:   19 15:54:06       11.564397        6.617207
FIRE:   20 15:54:06       10.812679        5.817678
FIRE:   21 15:54:06       10.142069        5.724870
FIRE:   22 15:54:06        9.532019        4.825349
FIRE:   23 15:54:06        9.041244        3.448639
FIRE:   24 15:54:06        8.739155        2.030949
FIRE:   25 15:54:06        8.620233        1.784015
FIRE:   26 15:54:06        7.808924        0.892540
FIRE:   27 15:54:06        7.462125        0.826141
FIRE:   28 15:54:06        7.297967        1.066626
FIRE:   29 15:54:06        7.067926        1.151515
FIRE:   30 15:54:06        6.748436        0.825054
FIRE:   31 15:54:06        6.446095        0.638478
FIRE:   32 15:54:06        6.189949        0.696640
FIRE:   33 15:54:07        5.961622        0.690087
FIRE:   34 15:54:07        5.744331        0.616203
FIRE:   35 15:54:07        5.538918        0.651213
FIRE:   36 15:54:07        5.346123        0.780383
FIRE:   37 15:54:07        5.141663        0.850523
FIRE:   38 15:54:07        4.916270        0.633252
FIRE:   39 15:54:07        4.709520        0.609580
FIRE:   40 15:54:07        4.542971        0.883500
FIRE:   41 15:54:07        4.368457        1.016712
FIRE:   42 15:54:07        4.132983        0.892430
FIRE:   43 15:54:07        3.871015        0.662075
FIRE:   44 15:54:07        3.636570        0.556658
FIRE:   45 15:54:07        3.422704        0.534649
FIRE:   46 15:54:07        3.190261        0.671446
FIRE:   47 15:54:07        2.924805        0.736522
FIRE:   48 15:54:07        2.648423        0.765292
FIRE:   49 15:54:07        2.384760        0.738989
FIRE:   50 15:54:07        2.143827        0.663332
FIRE:   51 15:54:07        1.931165        0.539858
FIRE:   52 15:54:07        1.761325        0.492257
FIRE:   53 15:54:07        1.649057        0.488089
FIRE:   54 15:54:07        1.584642        0.581796
FIRE:   55 15:54:07        1.521035        0.757558
FIRE:   56 15:54:07        1.406865        0.759989
FIRE:   57 15:54:07        1.247497        0.589280
FIRE:   58 15:54:08        1.104499        0.393046
FIRE:   59 15:54:08        1.024508        0.435547
FIRE:   60 15:54:08        0.995436        0.632078
FIRE:   61 15:54:08        0.863890        0.620706
FIRE:   62 15:54:08        0.787055        0.358907
FIRE:   63 15:54:08        0.775543        0.350623
FIRE:   64 15:54:08        0.757559        0.336926
FIRE:   65 15:54:08        0.736914        0.320061
FIRE:   66 15:54:08        0.712303        0.299698
FIRE:   67 15:54:08        0.681893        0.275630
FIRE:   68 15:54:08        0.648526        0.250515
FIRE:   69 15:54:08        0.616760        0.227902
FIRE:   70 15:54:08        0.583658        0.218470
FIRE:   71 15:54:08        0.547155        0.205331
FIRE:   72 15:54:08        0.511251        0.184433
FIRE:   73 15:54:08        0.478204        0.177783
FIRE:   74 15:54:08        0.445091        0.180275
FIRE:   75 15:54:08        0.418179        0.174814
FIRE:   76 15:54:08        0.394187        0.172096
FIRE:   77 15:54:08        0.378537        0.189831
FIRE:   78 15:54:08        0.366401        0.180751
FIRE:   79 15:54:08        0.362652        0.176035
FIRE:   80 15:54:08        0.355919        0.166696
FIRE:   81 15:54:08        0.347281        0.152936
FIRE:   82 15:54:08        0.337727        0.135320
FIRE:   83 15:54:09        0.328159        0.115187
FIRE:   84 15:54:09        0.319432        0.103801
FIRE:   85 15:54:09        0.312117        0.101623
FIRE:   86 15:54:09        0.305864        0.094637
FIRE:   87 15:54:09        0.301087        0.081715
FIRE:   88 15:54:09        0.297842        0.063213
FIRE:   89 15:54:09        0.296055        0.050331
FIRE:   90 15:54:09        0.295489        0.051674
FIRE:   91 15:54:09        0.295197        0.048188
FIRE:   92 15:54:09        0.294660        0.042476
FIRE:   93 15:54:09        0.293944        0.036789
FIRE:   94 15:54:09        0.293114        0.038114
FIRE:   95 15:54:09        0.292220        0.036025
FIRE:   96 15:54:09        0.291309        0.030012
FIRE:   97 15:54:09        0.290436        0.026077
FIRE:   98 15:54:09        0.289566        0.024675
FIRE:   99 15:54:09        0.288754        0.022809
FIRE:  100 15:54:09        0.288057        0.020434
FIRE:  101 15:54:09        0.287548        0.017697
FIRE:  102 15:54:09        0.287275        0.015266
FIRE:  103 15:54:09        0.287275        0.017022
FIRE:  104 15:54:09        0.287251        0.015663
FIRE:  105 15:54:09        0.287206        0.013294
FIRE:  106 15:54:10        0.287147        0.012392
FIRE:  107 15:54:10        0.287080        0.012309
FIRE:  108 15:54:10        0.287008        0.011594
FIRE:  109 15:54:10        0.286934        0.011287
FIRE:  110 15:54:10        0.286861        0.010944
FIRE:  111 15:54:10        0.286788        0.010514
FIRE:  112 15:54:10        0.286719        0.009954
