      Step     Time          Energy          fmax
FIRE:    0 15:04:26      266.616132      175.650059
FIRE:    1 15:04:26      201.290803      123.839222
FIRE:    2 15:04:26      154.192600       85.029104
FIRE:    3 15:04:26      121.476793       54.582816
FIRE:    4 15:04:27      101.085334       28.557049
FIRE:    5 15:04:27       92.572051       13.978176
FIRE:    6 15:04:27       96.404201       24.627816
FIRE:    7 15:04:27       89.614740       13.451637
FIRE:    8 15:04:27       90.403688       18.581329
FIRE:    9 15:04:27       88.683137       15.017877
FIRE:   10 15:04:27       86.294171       12.988549
FIRE:   11 15:04:27       84.584389       12.785211
FIRE:   12 15:04:27       83.944969       12.647448
FIRE:   13 15:04:27       83.787734       12.630581
FIRE:   14 15:04:27       83.492870       12.598371
FIRE:   15 15:04:27       83.094319       12.553436
FIRE:   16 15:04:27       82.631101       12.498757
FIRE:   17 15:04:27       82.136442       12.436811
FIRE:   18 15:04:27       81.628377       12.368857
FIRE:   19 15:04:27       81.105283       12.294655
FIRE:   20 15:04:27       80.487563       12.203640
FIRE:   21 15:04:27       79.720985       12.089528
FIRE:   22 15:04:27       78.735527       11.944427
FIRE:   23 15:04:27       77.467398       11.760508
FIRE:   24 15:04:27       75.888113       11.532343
FIRE:   25 15:04:27       74.016844       11.258007
FIRE:   26 15:04:27       71.877322       10.935933
FIRE:   27 15:04:27       69.405831       10.557856
FIRE:   28 15:04:27       66.456663       10.107724
FIRE:   29 15:04:27       62.993322        9.575035
FIRE:   30 15:04:27       59.767522        9.061893
FIRE:   31 15:04:27       56.756322        8.566053
FIRE:   32 15:04:27       53.865085        8.080076
FIRE:   33 15:04:27       51.118182        7.607958
FIRE:   34 15:04:27       48.567249        7.155407
FIRE:   35 15:04:28       46.180880        6.720386
FIRE:   36 15:04:28       43.917211        6.299845
FIRE:   37 15:04:28       41.793449        5.894239
FIRE:   38 15:04:28       39.825452        5.503876
FIRE:   39 15:04:28       37.989209        5.126638
FIRE:   40 15:04:28       36.269385        4.761546
FIRE:   41 15:04:28       34.676912        4.409840
FIRE:   42 15:04:28       33.212291        4.071832
FIRE:   43 15:04:28       31.858661        3.746996
FIRE:   44 15:04:28       30.610797        3.435081
FIRE:   45 15:04:28       29.472777        3.136580
FIRE:   46 15:04:28       28.437034        2.853045
FIRE:   47 15:04:28       27.493235        2.583820
FIRE:   48 15:04:28       26.641316        2.325241
FIRE:   49 15:04:28       25.880456        2.074728
FIRE:   50 15:04:28       25.203607        1.832323
FIRE:   51 15:04:28       24.607853        1.600556
FIRE:   52 15:04:28       24.091606        1.381535
FIRE:   53 15:04:28       23.648446        1.173422
FIRE:   54 15:04:28       23.275453        0.973588
FIRE:   55 15:04:28       22.971777        0.783929
FIRE:   56 15:04:28       22.731093        0.607286
FIRE:   57 15:04:28       22.549477        0.442336
FIRE:   58 15:04:28       22.422735        0.287684
FIRE:   59 15:04:28       22.347991        0.142501
FIRE:   60 15:04:28       22.322947        0.059188
FIRE:   61 15:04:28       22.329578        0.359802
FIRE:   62 15:04:28       22.326734        0.269617
FIRE:   63 15:04:28       22.324059        0.154686
FIRE:   64 15:04:28       22.322798        0.028745
FIRE:   65 15:04:28       22.322789        0.025641
FIRE:   66 15:04:29       22.322775        0.019773
FIRE:   67 15:04:29       22.322762        0.011781
FIRE:   68 15:04:29       22.322755        0.002536
