      Step     Time          Energy          fmax
FIRE:    0 15:47:24       18.294614        6.974836
FIRE:    1 15:47:24       16.223986        6.330192
FIRE:    2 15:47:24       13.962427        5.609051
FIRE:    3 15:47:24       12.196722        5.025591
FIRE:    4 15:47:24       10.835547        4.545052
FIRE:    5 15:47:24        9.783419        4.137786
FIRE:    6 15:47:24        8.941610        3.775699
FIRE:    7 15:47:24        8.225019        3.430944
FIRE:    8 15:47:24        7.571019        3.081019
FIRE:    9 15:47:24        6.950991        2.715459
FIRE:   10 15:47:24        6.367858        2.336066
FIRE:   11 15:47:24        5.842940        1.952962
FIRE:   12 15:47:24        5.400747        1.579136
FIRE:   13 15:47:25        5.059433        1.226278
FIRE:   14 15:47:25        4.826851        0.902827
FIRE:   15 15:47:25        4.698873        0.613697
FIRE:   16 15:47:25        4.657465        0.461550
FIRE:   17 15:47:25        4.648859        0.459411
FIRE:   18 15:47:25        4.631899        0.455153
FIRE:   19 15:47:25        4.607001        0.448877
FIRE:   20 15:47:25        4.574591        0.440858
FIRE:   21 15:47:25        4.534912        0.437220
FIRE:   22 15:47:25        4.487858        0.465931
FIRE:   23 15:47:25        4.432924        0.497018
FIRE:   24 15:47:25        4.361950        0.532425
FIRE:   25 15:47:25        4.269574        0.570607
FIRE:   26 15:47:25        4.148625        0.608912
FIRE:   27 15:47:25        3.989790        0.643298
FIRE:   28 15:47:25        3.814992        0.665294
FIRE:   29 15:47:25        3.634020        0.678956
FIRE:   30 15:47:25        3.446185        0.691051
FIRE:   31 15:47:25        3.251050        0.697632
FIRE:   32 15:47:25        3.049958        0.696580
FIRE:   33 15:47:25        2.845353        0.690986
FIRE:   34 15:47:25        2.639466        0.683236
FIRE:   35 15:47:25        2.433718        0.674306
FIRE:   36 15:47:25        2.229097        0.664493
FIRE:   37 15:47:25        2.026643        0.653741
FIRE:   38 15:47:25        1.827635        0.641736
FIRE:   39 15:47:26        1.633596        0.627946
FIRE:   40 15:47:26        1.446260        0.611648
FIRE:   41 15:47:26        1.267526        0.591961
FIRE:   42 15:47:26        1.099420        0.567867
FIRE:   43 15:47:26        0.944059        0.538222
FIRE:   44 15:47:26        0.803613        0.501762
FIRE:   45 15:47:26        0.680270        0.457082
FIRE:   46 15:47:26        0.576189        0.402749
FIRE:   47 15:47:26        0.493451        0.337233
FIRE:   48 15:47:26        0.433940        0.258661
FIRE:   49 15:47:26        0.399152        0.164624
FIRE:   50 15:47:26        0.389839        0.082548
FIRE:   51 15:47:26        0.387051        0.032761
FIRE:   52 15:47:26        0.387339        0.042357
FIRE:   53 15:47:26        0.387100        0.036606
FIRE:   54 15:47:26        0.386765        0.025937
FIRE:   55 15:47:26        0.386532        0.011901
FIRE:   56 15:47:26        0.386535        0.010823
FIRE:   57 15:47:26        0.386532        0.010451
FIRE:   58 15:47:26        0.386525        0.009723
