      Step     Time          Energy          fmax
FIRE:    0 12:46:06      113.835615       49.993560
FIRE:    1 12:46:06       97.439363       37.024811
FIRE:    2 12:46:06       87.789255       34.156517
FIRE:    3 12:46:06       81.282126       32.166583
FIRE:    4 12:46:06       76.085016       30.609342
FIRE:    5 12:46:06       71.360805       29.207566
FIRE:    6 12:46:06       66.778692       27.793325
FIRE:    7 12:46:06       62.237992       26.302955
FIRE:    8 12:46:06       57.726963       24.714467
FIRE:    9 12:46:06       53.294789       23.041792
FIRE:   10 12:46:06       49.014580       21.324103
FIRE:   11 12:46:06       44.957746       19.603054
FIRE:   12 12:46:06       41.180027       17.909082
FIRE:   13 12:46:06       37.714578       16.272637
FIRE:   14 12:46:06       34.572239       14.714219
FIRE:   15 12:46:06       31.747071       13.243885
FIRE:   16 12:46:06       29.222834       11.864960
FIRE:   17 12:46:07       26.977881       10.581330
FIRE:   18 12:46:07       24.987877        9.393909
FIRE:   19 12:46:07       23.229943        8.289368
FIRE:   20 12:46:07       21.684970        7.258890
FIRE:   21 12:46:07       20.336107        6.299113
FIRE:   22 12:46:07       19.168214        5.406047
FIRE:   23 12:46:07       18.167723        4.575548
FIRE:   24 12:46:07       17.322164        3.804914
FIRE:   25 12:46:07       16.619700        3.090971
FIRE:   26 12:46:07       16.048802        2.431496
FIRE:   27 12:46:07       15.597295        1.827913
FIRE:   28 12:46:07       15.252004        1.277137
FIRE:   29 12:46:07       14.998869        0.774373
FIRE:   30 12:46:07       14.821175        0.636163
FIRE:   31 12:46:07       14.698102        0.690204
FIRE:   32 12:46:07       14.606549        0.754044
FIRE:   33 12:46:07       14.523120        0.813535
FIRE:   34 12:46:07       14.430299        0.830953
FIRE:   35 12:46:07       14.347811        0.851162
FIRE:   36 12:46:07       14.359510        0.656983
FIRE:   37 12:46:07       14.272184        0.491697
FIRE:   38 12:46:07       14.250704        0.889223
FIRE:   39 12:46:08       14.204185        0.513609
FIRE:   40 12:46:08       14.190050        0.313736
FIRE:   41 12:46:08       14.180295        0.229054
FIRE:   42 12:46:08       14.184040        0.297122
FIRE:   43 12:46:08       14.182522        0.267319
FIRE:   44 12:46:08       14.180002        0.210725
FIRE:   45 12:46:08       14.177313        0.203864
FIRE:   46 12:46:08       14.175262        0.199160
FIRE:   47 12:46:08       14.174245        0.191784
FIRE:   48 12:46:08       14.173953        0.182320
FIRE:   49 12:46:08       14.173861        0.182129
FIRE:   50 12:46:08       14.173683        0.181741
FIRE:   51 12:46:08       14.173429        0.181146
FIRE:   52 12:46:08       14.173114        0.180327
FIRE:   53 12:46:08       14.172755        0.179262
FIRE:   54 12:46:09       14.172368        0.177925
FIRE:   55 12:46:09       14.171969        0.176290
FIRE:   56 12:46:09       14.171529        0.174107
FIRE:   57 12:46:09       14.171053        0.171220
FIRE:   58 12:46:09       14.170540        0.167459
FIRE:   59 12:46:09       14.169973        0.162666
FIRE:   60 12:46:09       14.169310        0.156704
FIRE:   61 12:46:09       14.168496        0.149450
FIRE:   62 12:46:09       14.167484        0.140752
FIRE:   63 12:46:09       14.166276        0.130372
FIRE:   64 12:46:09       14.164953        0.117942
FIRE:   65 12:46:09       14.163652        0.102983
FIRE:   66 12:46:09       14.162431        0.085259
FIRE:   67 12:46:09       14.161226        0.065064
FIRE:   68 12:46:09       14.160103        0.042566
FIRE:   69 12:46:09       14.159469        0.028121
FIRE:   70 12:46:09       14.159355        0.039223
FIRE:   71 12:46:09       14.159329        0.034418
FIRE:   72 12:46:09       14.159290        0.025403
FIRE:   73 12:46:10       14.159255        0.013300
FIRE:   74 12:46:10       14.159239        0.009467
