      Step     Time          Energy          fmax
FIRE:    0 15:46:29      212.926803       73.285658
FIRE:    1 15:46:29      181.098020       62.889408
FIRE:    2 15:46:30      154.019327       53.313057
FIRE:    3 15:46:30      130.933763       44.429316
FIRE:    4 15:46:30      111.367962       36.335675
FIRE:    5 15:46:30       94.979821       29.150058
FIRE:    6 15:46:30       81.457475       22.955107
FIRE:    7 15:46:30       70.448719       17.791466
FIRE:    8 15:46:30       61.521122       15.483936
FIRE:    9 15:46:30       54.183678       15.124390
FIRE:   10 15:46:30       47.956521       14.103113
FIRE:   11 15:46:30       42.465415       13.813563
FIRE:   12 15:46:30       37.496910       13.292409
FIRE:   13 15:46:30       32.979033       12.391748
FIRE:   14 15:46:30       28.917682       11.001113
FIRE:   15 15:46:30       25.335663        9.088203
FIRE:   16 15:46:30       22.239048        6.754506
FIRE:   17 15:46:30       19.608806        4.244123
FIRE:   18 15:46:30       17.400375        3.649427
FIRE:   19 15:46:31       15.541415        3.116522
FIRE:   20 15:46:31       13.943167        3.221276
FIRE:   21 15:46:31       12.525102        3.297733
FIRE:   22 15:46:31       11.242614        3.273548
FIRE:   23 15:46:31       10.100201        2.723643
FIRE:   24 15:46:31        9.134699        2.185098
FIRE:   25 15:46:31        8.381842        1.613317
FIRE:   26 15:46:31        7.847374        1.211492
FIRE:   27 15:46:31        7.502214        1.023387
FIRE:   28 15:46:31        7.299824        1.018951
FIRE:   29 15:46:31        7.196833        0.933479
FIRE:   30 15:46:31        7.157691        1.041871
FIRE:   31 15:46:31        6.753683        0.963241
FIRE:   32 15:46:31        6.416341        0.849083
FIRE:   33 15:46:31        6.106834        0.731657
FIRE:   34 15:46:31        5.808819        0.628468
FIRE:   35 15:46:31        5.537913        0.534853
FIRE:   36 15:46:31        5.320196        0.436037
FIRE:   37 15:46:32        5.167867        0.323606
FIRE:   38 15:46:32        5.072184        0.290195
FIRE:   39 15:46:32        5.022114        0.272974
FIRE:   40 15:46:32        5.016302        0.298058
FIRE:   41 15:46:32        4.943289        0.261509
FIRE:   42 15:46:32        4.856526        0.245754
FIRE:   43 15:46:32        4.729417        0.285091
FIRE:   44 15:46:32        4.559570        0.328063
FIRE:   45 15:46:32        4.365670        0.362374
FIRE:   46 15:46:32        4.151752        0.395786
FIRE:   47 15:46:33        3.920970        0.448060
FIRE:   48 15:46:33        3.684293        0.468915
FIRE:   49 15:46:33        3.463700        0.450866
FIRE:   50 15:46:33        3.283113        0.397775
