      Step     Time          Energy          fmax
FIRE:    0 15:04:45      214.149795      170.607287
FIRE:    1 15:04:45      160.500304      100.450699
FIRE:    2 15:04:45      128.087494       63.055849
FIRE:    3 15:04:45      106.633386       47.241180
FIRE:    4 15:04:45       90.630849       43.542329
FIRE:    5 15:04:45       77.348521       38.036466
FIRE:    6 15:04:45       65.661604       31.390708
FIRE:    7 15:04:46       55.305739       24.505022
FIRE:    8 15:04:46       46.371417       20.303931
FIRE:    9 15:04:46       39.067069       15.812787
FIRE:   10 15:04:46       33.469986       11.112220
FIRE:   11 15:04:46       29.402618        7.469632
FIRE:   12 15:04:46       26.450822        7.155051
FIRE:   13 15:04:46       24.135316        6.865148
FIRE:   14 15:04:46       22.115559        6.732236
FIRE:   15 15:04:46       20.266487        6.241911
FIRE:   16 15:04:46       18.622117        5.801098
FIRE:   17 15:04:46       17.247672        7.312327
FIRE:   18 15:04:46       16.136972        8.348712
FIRE:   19 15:04:46       15.206491        8.368717
FIRE:   20 15:04:46       14.351871        7.314426
FIRE:   21 15:04:46       13.467873        7.340494
FIRE:   22 15:04:46       12.459391        7.480323
FIRE:   23 15:04:46       11.339976        6.632372
FIRE:   24 15:04:46       10.270933        5.260563
FIRE:   25 15:04:46        9.412177        3.884433
FIRE:   26 15:04:46        8.788474        2.759099
FIRE:   27 15:04:46        8.319716        2.168335
FIRE:   28 15:04:46        7.914863        2.301128
FIRE:   29 15:04:46        7.517638        2.408382
FIRE:   30 15:04:46        7.114415        2.244790
FIRE:   31 15:04:46        6.735770        1.811582
FIRE:   32 15:04:46        6.446501        1.206907
FIRE:   33 15:04:46        6.299474        1.192730
FIRE:   34 15:04:46        6.300924        1.426745
FIRE:   35 15:04:46        6.000575        0.709510
FIRE:   36 15:04:46        5.837252        0.688894
FIRE:   37 15:04:46        5.684657        0.812593
FIRE:   38 15:04:46        5.452366        0.617243
FIRE:   39 15:04:46        5.324737        0.398388
FIRE:   40 15:04:46        5.268140        0.693481
FIRE:   41 15:04:47        5.155426        0.635370
FIRE:   42 15:04:47        5.063889        0.402531
FIRE:   43 15:04:47        5.040228        0.536033
FIRE:   44 15:04:47        4.982675        0.377055
FIRE:   45 15:04:47        4.966466        0.360178
FIRE:   46 15:04:47        4.952088        0.332942
FIRE:   47 15:04:47        4.940518        0.297199
FIRE:   48 15:04:47        4.922613        0.252178
FIRE:   49 15:04:47        4.900144        0.231921
FIRE:   50 15:04:47        4.877905        0.251936
FIRE:   51 15:04:47        4.858510        0.261619
FIRE:   52 15:04:47        4.837999        0.267533
FIRE:   53 15:04:47        4.813297        0.271057
FIRE:   54 15:04:47        4.787611        0.258828
FIRE:   55 15:04:47        4.761497        0.214372
FIRE:   56 15:04:47        4.736930        0.146952
FIRE:   57 15:04:47        4.720296        0.158836
FIRE:   58 15:04:47        4.717930        0.073537
FIRE:   59 15:04:47        4.716840        0.058892
FIRE:   60 15:04:47        4.716742        0.057226
FIRE:   61 15:04:47        4.716578        0.057218
FIRE:   62 15:04:47        4.716395        0.057118
FIRE:   63 15:04:47        4.716231        0.056824
FIRE:   64 15:04:47        4.716087        0.056226
FIRE:   65 15:04:47        4.715936        0.055268
FIRE:   66 15:04:47        4.715749        0.053948
FIRE:   67 15:04:47        4.715494        0.052097
FIRE:   68 15:04:47        4.715189        0.049658
FIRE:   69 15:04:47        4.714870        0.046642
FIRE:   70 15:04:47        4.714534        0.043232
FIRE:   71 15:04:47        4.714124        0.039678
FIRE:   72 15:04:47        4.713646        0.036040
FIRE:   73 15:04:47        4.713204        0.031966
FIRE:   74 15:04:47        4.712735        0.026927
FIRE:   75 15:04:48        4.712196        0.021535
FIRE:   76 15:04:48        4.711706        0.024460
FIRE:   77 15:04:48        4.711179        0.016640
FIRE:   78 15:04:48        4.710753        0.023363
FIRE:   79 15:04:48        4.710407        0.017435
FIRE:   80 15:04:48        4.710264        0.006926
