      Step     Time          Energy          fmax
FIRE:    0 14:15:58       29.376117       44.552155
FIRE:    1 14:15:58       16.157327       22.302412
FIRE:    2 14:15:58        9.926996        9.005495
FIRE:    3 14:15:58        7.762477        3.471819
FIRE:    4 14:15:58        7.755696        3.378928
FIRE:    5 14:15:58        7.586680        3.308369
FIRE:    6 14:15:58        7.287907        3.179038
FIRE:    7 14:15:58        6.924698        3.010529
FIRE:    8 14:15:58        6.563670        2.822623
FIRE:    9 14:15:58        6.241475        2.625835
FIRE:   10 14:15:59        5.944805        2.416608
FIRE:   11 14:15:59        5.631607        2.184093
FIRE:   12 14:15:59        5.241546        1.894465
FIRE:   13 14:15:59        4.799788        1.548403
FIRE:   14 14:15:59        4.392932        1.162222
FIRE:   15 14:15:59        4.104457        0.758511
FIRE:   16 14:15:59        3.941801        0.632276
FIRE:   17 14:15:59        3.871590        0.548573
FIRE:   18 14:15:59        3.896669        0.306681
FIRE:   19 14:15:59        3.895349        0.305006
FIRE:   20 14:15:59        3.892810        0.301608
FIRE:   21 14:15:59        3.889243        0.296389
FIRE:   22 14:15:59        3.884913        0.289210
FIRE:   23 14:15:59        3.880131        0.279911
FIRE:   24 14:15:59        3.875214        0.268334
FIRE:   25 14:15:59        3.870439        0.254364
FIRE:   26 14:15:59        3.865548        0.236151
FIRE:   27 14:16:00        3.860704        0.213002
FIRE:   28 14:16:00        3.855884        0.184652
FIRE:   29 14:16:00        3.850852        0.151376
FIRE:   30 14:16:00        3.845443        0.145018
FIRE:   31 14:16:00        3.840173        0.101874
FIRE:   32 14:16:00        3.836750        0.025865
FIRE:   33 14:16:00        3.837559        0.090080
FIRE:   34 14:16:00        3.837467        0.085331
FIRE:   35 14:16:00        3.837302        0.076063
FIRE:   36 14:16:00        3.837095        0.062734
FIRE:   37 14:16:00        3.836888        0.046021
FIRE:   38 14:16:00        3.836720        0.026832
FIRE:   39 14:16:00        3.836620        0.021725
FIRE:   40 14:16:00        3.836596        0.020066
FIRE:   41 14:16:00        3.836595        0.020024
FIRE:   42 14:16:01        3.836592        0.019940
FIRE:   43 14:16:01        3.836588        0.019814
FIRE:   44 14:16:01        3.836583        0.019647
FIRE:   45 14:16:01        3.836578        0.019439
FIRE:   46 14:16:01        3.836571        0.019189
FIRE:   47 14:16:01        3.836564        0.018899
FIRE:   48 14:16:01        3.836555        0.018530
FIRE:   49 14:16:01        3.836544        0.018066
FIRE:   50 14:16:01        3.836532        0.017485
FIRE:   51 14:16:01        3.836519        0.016765
FIRE:   52 14:16:01        3.836504        0.015878
FIRE:   53 14:16:01        3.836488        0.014795
FIRE:   54 14:16:01        3.836471        0.013490
FIRE:   55 14:16:01        3.836453        0.011938
FIRE:   56 14:16:01        3.836433        0.010120
FIRE:   57 14:16:02        3.836413        0.008020
