      Step     Time          Energy          fmax
FIRE:    0 15:56:12      130.965210      167.718138
FIRE:    1 15:56:12       77.119237       83.622779
FIRE:    2 15:56:12       48.076815       39.464611
FIRE:    3 15:56:12       32.351510       25.004993
FIRE:    4 15:56:12       23.846056       16.517570
FIRE:    5 15:56:12       19.378643       10.950139
FIRE:    6 15:56:12       17.306903        8.457864
FIRE:    7 15:56:12       16.793084       10.431304
FIRE:    8 15:56:12       15.108054        8.398644
FIRE:    9 15:56:12       12.700813        5.629632
FIRE:   10 15:56:12       10.539794        3.690234
FIRE:   11 15:56:12        9.027705        2.874700
FIRE:   12 15:56:12        8.073812        3.306315
FIRE:   13 15:56:12        7.350179        4.323737
FIRE:   14 15:56:12        6.627639        4.072191
FIRE:   15 15:56:12        5.903074        2.943422
FIRE:   16 15:56:12        5.330533        1.802254
FIRE:   17 15:56:12        4.948101        1.448717
FIRE:   18 15:56:12        4.725769        1.309625
FIRE:   19 15:56:12        4.620894        1.332009
FIRE:   20 15:56:13        4.581208        1.329617
FIRE:   21 15:56:13        4.566982        1.329212
FIRE:   22 15:56:13        4.539541        1.328259
FIRE:   23 15:56:13        4.500730        1.326490
FIRE:   24 15:56:13        4.452897        1.323528
FIRE:   25 15:56:13        4.398499        1.318943
FIRE:   26 15:56:13        4.339707        1.312299
FIRE:   27 15:56:13        4.278098        1.303230
FIRE:   28 15:56:13        4.207684        1.290102
FIRE:   29 15:56:13        4.127421        1.271730
FIRE:   30 15:56:13        4.035448        1.246856
FIRE:   31 15:56:13        3.929793        1.214018
FIRE:   32 15:56:13        3.810484        1.171137
FIRE:   33 15:56:13        3.682179        1.115149
FIRE:   34 15:56:13        3.553424        1.042891
FIRE:   35 15:56:13        3.427694        0.954386
FIRE:   36 15:56:13        3.293802        0.854333
FIRE:   37 15:56:13        3.136801        0.748250
FIRE:   38 15:56:13        2.959256        0.637119
FIRE:   39 15:56:13        2.792059        0.534199
FIRE:   40 15:56:13        2.630237        0.443159
FIRE:   41 15:56:13        2.476910        0.467543
FIRE:   42 15:56:13        2.326000        0.518900
FIRE:   43 15:56:13        2.170732        0.537488
FIRE:   44 15:56:13        2.031670        0.528679
FIRE:   45 15:56:13        1.923490        0.495386
FIRE:   46 15:56:13        1.828030        0.477115
FIRE:   47 15:56:13        1.724958        0.394725
FIRE:   48 15:56:14        1.612189        0.489021
FIRE:   49 15:56:14        1.492547        0.537580
FIRE:   50 15:56:14        1.367002        0.446423
FIRE:   51 15:56:14        1.233362        0.429624
FIRE:   52 15:56:14        1.090343        0.417163
FIRE:   53 15:56:14        0.953017        0.470747
FIRE:   54 15:56:14        0.838972        0.493094
FIRE:   55 15:56:14        0.746157        0.473769
FIRE:   56 15:56:14        0.668930        0.415513
FIRE:   57 15:56:14        0.606587        0.333168
FIRE:   58 15:56:14        0.550802        0.276320
FIRE:   59 15:56:14        0.491721        0.331637
FIRE:   60 15:56:14        0.417141        0.328342
FIRE:   61 15:56:14        0.333190        0.280397
FIRE:   62 15:56:14        0.255480        0.293318
FIRE:   63 15:56:14        0.196334        0.215717
FIRE:   64 15:56:14        0.165986        0.185132
FIRE:   65 15:56:15        0.165975        0.211499
FIRE:   66 15:56:15        0.131142        0.127971
FIRE:   67 15:56:15        0.133323        0.380683
FIRE:   68 15:56:15        0.120620        0.173295
FIRE:   69 15:56:15        0.119244        0.135802
FIRE:   70 15:56:15        0.117341        0.073223
FIRE:   71 15:56:15        0.115663        0.087291
FIRE:   72 15:56:15        0.114134        0.104360
FIRE:   73 15:56:15        0.112438        0.082543
FIRE:   74 15:56:15        0.110883        0.065566
FIRE:   75 15:56:15        0.110014        0.061633
FIRE:   76 15:56:15        0.109526        0.082243
FIRE:   77 15:56:15        0.108663        0.081157
FIRE:   78 15:56:15        0.107486        0.051161
FIRE:   79 15:56:15        0.106356        0.083610
FIRE:   80 15:56:15        0.104531        0.057536
FIRE:   81 15:56:15        0.102645        0.041786
FIRE:   82 15:56:15        0.101050        0.057275
FIRE:   83 15:56:15        0.099818        0.057902
FIRE:   84 15:56:15        0.099015        0.046956
FIRE:   85 15:56:15        0.098517        0.059665
FIRE:   86 15:56:15        0.098118        0.031524
FIRE:   87 15:56:15        0.097817        0.027804
FIRE:   88 15:56:15        0.097709        0.049655
FIRE:   89 15:56:16        0.097651        0.043965
FIRE:   90 15:56:16        0.097559        0.033368
FIRE:   91 15:56:16        0.097471        0.019450
FIRE:   92 15:56:16        0.097413        0.018519
FIRE:   93 15:56:16        0.097388        0.018454
FIRE:   94 15:56:16        0.097371        0.025728
FIRE:   95 15:56:16        0.097336        0.027970
FIRE:   96 15:56:16        0.097270        0.024274
FIRE:   97 15:56:16        0.097184        0.016442
FIRE:   98 15:56:16        0.097116        0.015378
FIRE:   99 15:56:16        0.097090        0.015854
FIRE:  100 15:56:16        0.097085        0.014791
FIRE:  101 15:56:16        0.097077        0.014135
FIRE:  102 15:56:16        0.097066        0.014124
FIRE:  103 15:56:16        0.097055        0.014103
FIRE:  104 15:56:16        0.097045        0.014062
FIRE:  105 15:56:16        0.097036        0.013992
FIRE:  106 15:56:16        0.097028        0.013885
FIRE:  107 15:56:16        0.097019        0.013721
FIRE:  108 15:56:16        0.097006        0.013484
FIRE:  109 15:56:16        0.096988        0.013160
FIRE:  110 15:56:16        0.096964        0.012734
FIRE:  111 15:56:16        0.096938        0.012194
FIRE:  112 15:56:16        0.096911        0.011543
FIRE:  113 15:56:16        0.096882        0.010806
FIRE:  114 15:56:17        0.096844        0.010357
FIRE:  115 15:56:17        0.096800        0.009773
