      Step     Time          Energy          fmax
FIRE:    0 15:33:33       29.930154       14.921112
FIRE:    1 15:33:33       22.251261       11.115958
FIRE:    2 15:33:33       16.437910        8.413643
FIRE:    3 15:33:33       12.198257        6.205577
FIRE:    4 15:33:33        9.332178        4.352005
FIRE:    5 15:33:33        7.624668        2.848793
FIRE:    6 15:33:33        6.805862        1.711252
FIRE:    7 15:33:33        6.536328        2.373431
FIRE:    8 15:33:33        6.472449        2.917284
FIRE:    9 15:33:33        6.316711        2.737512
FIRE:   10 15:33:33        6.040157        2.403569
FIRE:   11 15:33:33        5.699931        1.958549
FIRE:   12 15:33:33        5.356386        1.452497
FIRE:   13 15:33:33        5.055293        0.936197
FIRE:   14 15:33:33        4.815658        1.007466
FIRE:   15 15:33:33        4.626709        1.110408
FIRE:   16 15:33:33        4.442653        1.152564
FIRE:   17 15:33:33        4.233968        1.094371
FIRE:   18 15:33:33        3.987266        0.911436
FIRE:   19 15:33:33        3.729907        0.599802
FIRE:   20 15:33:33        3.529570        0.607975
FIRE:   21 15:33:33        3.456066        0.573323
FIRE:   22 15:33:34        3.451031        0.572235
FIRE:   23 15:33:34        3.441206        0.569980
FIRE:   24 15:33:34        3.427064        0.566414
FIRE:   25 15:33:34        3.409248        0.561347
FIRE:   26 15:33:34        3.388507        0.554590
FIRE:   27 15:33:34        3.365593        0.545998
FIRE:   28 15:33:34        3.341162        0.535521
FIRE:   29 15:33:34        3.312925        0.521834
FIRE:   30 15:33:34        3.280554        0.504465
FIRE:   31 15:33:34        3.243213        0.483178
FIRE:   32 15:33:34        3.199306        0.458012
FIRE:   33 15:33:34        3.146656        0.429053
FIRE:   34 15:33:34        3.083543        0.395814
FIRE:   35 15:33:34        3.010497        0.356321
FIRE:   36 15:33:34        2.931408        0.306585
FIRE:   37 15:33:34        2.851203        0.249230
FIRE:   38 15:33:34        2.770302        0.229855
FIRE:   39 15:33:34        2.685292        0.399993
FIRE:   40 15:33:35        2.599232        0.606185
FIRE:   41 15:33:35        2.520415        0.801999
FIRE:   42 15:33:35        2.445087        0.919428
FIRE:   43 15:33:35        2.363705        0.930720
FIRE:   44 15:33:35        2.282049        0.837749
FIRE:   45 15:33:35        2.200319        0.653275
FIRE:   46 15:33:35        2.127808        0.404447
FIRE:   47 15:33:35        2.086854        0.145570
FIRE:   48 15:33:35        2.085338        0.183553
FIRE:   49 15:33:35        2.080909        0.173040
FIRE:   50 15:33:35        2.074165        0.152355
FIRE:   51 15:33:35        2.067396        0.122807
FIRE:   52 15:33:35        2.061326        0.087581
FIRE:   53 15:33:35        2.055897        0.062733
FIRE:   54 15:33:35        2.052152        0.035478
FIRE:   55 15:33:35        2.051491        0.053613
FIRE:   56 15:33:35        2.051374        0.050907
FIRE:   57 15:33:35        2.051163        0.045764
FIRE:   58 15:33:35        2.050897        0.038735
FIRE:   59 15:33:35        2.050620        0.030690
FIRE:   60 15:33:35        2.050369        0.022902
FIRE:   61 15:33:35        2.050160        0.017831
FIRE:   62 15:33:35        2.049993        0.018718
FIRE:   63 15:33:35        2.049847        0.016883
FIRE:   64 15:33:36        2.049729        0.012500
FIRE:   65 15:33:36        2.049674        0.008889
