      Step     Time          Energy          fmax
FIRE:    0 15:02:45      128.277458       39.648752
FIRE:    1 15:02:45      109.773808       23.059520
FIRE:    2 15:02:46       99.874802       14.623705
FIRE:    3 15:02:46       97.254001       14.323558
FIRE:    4 15:02:46       95.217073       14.093670
FIRE:    5 15:02:46       92.149536       13.713527
FIRE:    6 15:02:46       88.186790       13.199148
FIRE:    7 15:02:46       83.659055       12.626102
FIRE:    8 15:02:46       79.188474       12.059735
FIRE:    9 15:02:46       75.101703       11.521830
FIRE:   10 15:02:46       71.315082       11.003521
FIRE:   11 15:02:46       67.640036       10.489895
FIRE:   12 15:02:46       64.046937        9.979980
FIRE:   13 15:02:46       60.626546        9.483104
FIRE:   14 15:02:46       57.431927        9.005651
FIRE:   15 15:02:46       54.426993        8.545933
FIRE:   16 15:02:46       51.556759        8.097996
FIRE:   17 15:02:46       48.811850        7.659327
FIRE:   18 15:02:46       46.216989        7.232404
FIRE:   19 15:02:46       43.785914        6.819295
FIRE:   20 15:02:46       41.504919        6.419077
FIRE:   21 15:02:46       39.353370        6.029921
FIRE:   22 15:02:46       37.324959        5.651408
FIRE:   23 15:02:46       35.425455        5.284242
FIRE:   24 15:02:46       33.657628        4.928489
FIRE:   25 15:02:46       32.014690        4.583044
FIRE:   26 15:02:46       30.487040        4.247732
FIRE:   27 15:02:47       29.069674        3.925666
FIRE:   28 15:02:47       27.761250        3.618660
FIRE:   29 15:02:47       26.559719        3.322638
FIRE:   30 15:02:47       25.460337        3.036007
FIRE:   31 15:02:47       24.456805        2.762351
FIRE:   32 15:02:47       23.544370        2.501513
FIRE:   33 15:02:47       22.721040        2.249455
FIRE:   34 15:02:47       21.984854        2.004923
FIRE:   35 15:02:47       21.332109        1.768562
FIRE:   36 15:02:47       20.758967        1.540932
FIRE:   37 15:02:47       20.262823        1.322333
FIRE:   38 15:02:47       19.841344        1.112796
FIRE:   39 15:02:47       19.491216        0.911960
FIRE:   40 15:02:47       19.208845        0.719297
FIRE:   41 15:02:47       18.991649        0.534708
FIRE:   42 15:02:47       18.837222        0.359253
FIRE:   43 15:02:47       18.741676        0.194366
FIRE:   44 15:02:47       18.701389        0.039121
FIRE:   45 15:02:47       18.713779        0.108786
FIRE:   46 15:02:47       18.713898        0.249486
FIRE:   47 15:02:47       18.713002        0.251186
FIRE:   48 15:02:47       18.706885        0.125001
FIRE:   49 15:02:47       18.705013        0.064577
FIRE:   50 15:02:47       18.704845        0.064286
FIRE:   51 15:02:48       18.704569        0.063687
FIRE:   52 15:02:48       18.704271        0.062750
FIRE:   53 15:02:48       18.704022        0.061432
FIRE:   54 15:02:48       18.703831        0.059722
FIRE:   55 15:02:48       18.703642        0.057691
FIRE:   56 15:02:48       18.703391        0.055425
FIRE:   57 15:02:48       18.703009        0.052701
FIRE:   58 15:02:48       18.702517        0.049430
FIRE:   59 15:02:48       18.702010        0.045438
FIRE:   60 15:02:48       18.701572        0.040498
FIRE:   61 15:02:48       18.701116        0.034646
FIRE:   62 15:02:48       18.700554        0.027948
FIRE:   63 15:02:48       18.700086        0.020257
FIRE:   64 15:02:48       18.699828        0.025474
FIRE:   65 15:02:48       18.699612        0.009195
