      Step     Time          Energy          fmax
FIRE:    0 12:49:23      512.477001      166.648199
FIRE:    1 12:49:23      479.912737      159.008605
FIRE:    2 12:49:23      448.855543      151.575961
FIRE:    3 12:49:23      419.265521      144.335072
FIRE:    4 12:49:23      391.105079      137.280765
FIRE:    5 12:49:23      364.336592      130.416408
FIRE:    6 12:49:23      338.921739      123.744927
FIRE:    7 12:49:23      314.821781      117.267712
FIRE:    8 12:49:24      291.997794      110.985315
FIRE:    9 12:49:24      270.410794      104.897829
FIRE:   10 12:49:24      250.021811       99.005030
FIRE:   11 12:49:24      230.791949       93.306424
FIRE:   12 12:49:24      212.682433       87.801274
FIRE:   13 12:49:24      195.654660       82.488606
FIRE:   14 12:49:24      179.670245       77.367205
FIRE:   15 12:49:24      164.691074       72.435541
FIRE:   16 12:49:24      150.679389       67.691492
FIRE:   17 12:49:24      137.597972       63.131688
FIRE:   18 12:49:24      125.410277       58.754141
FIRE:   19 12:49:24      114.079013       54.568338
FIRE:   20 12:49:24      103.566078       50.566412
FIRE:   21 12:49:24       93.836218       46.736425
FIRE:   22 12:49:24       84.854969       43.079202
FIRE:   23 12:49:24       76.587823       39.593634
FIRE:   24 12:49:24       69.000680       36.277054
FIRE:   25 12:49:25       62.060020       33.126349
FIRE:   26 12:49:25       55.732960       30.138198
FIRE:   27 12:49:25       49.987294       27.309100
FIRE:   28 12:49:25       44.791527       24.635325
FIRE:   29 12:49:25       40.114931       22.112790
FIRE:   30 12:49:25       35.927628       19.736813
FIRE:   31 12:49:25       32.200734       17.501970
FIRE:   32 12:49:25       28.906395       15.403687
FIRE:   33 12:49:25       26.017067       13.444469
FIRE:   34 12:49:25       23.503869       11.632466
FIRE:   35 12:49:25       21.337734        9.957944
FIRE:   36 12:49:25       19.492832        8.402503
FIRE:   37 12:49:25       17.945617        6.960577
FIRE:   38 12:49:25       16.672786        5.631579
FIRE:   39 12:49:25       15.650970        4.413736
FIRE:   40 12:49:25       14.856821        3.304195
FIRE:   41 12:49:25       14.266799        2.299949
FIRE:   42 12:49:26       13.856537        1.398548
FIRE:   43 12:49:26       13.599734        1.119294
FIRE:   44 12:49:26       13.467496        1.172878
FIRE:   45 12:49:26       13.430261        1.231400
FIRE:   46 12:49:26       13.064672        1.242968
FIRE:   47 12:49:26       12.711059        1.256134
FIRE:   48 12:49:26       12.360283        1.270264
FIRE:   49 12:49:26       12.005805        1.284524
FIRE:   50 12:49:26       11.644146        1.297945
FIRE:   51 12:49:26       11.274483        1.309483
FIRE:   52 12:49:26       10.897830        1.318068
FIRE:   53 12:49:26       10.516113        1.322743
FIRE:   54 12:49:26       10.131866        1.322453
FIRE:   55 12:49:26        9.747791        1.316099
FIRE:   56 12:49:26        9.366571        1.302560
FIRE:   57 12:49:26        8.990850        1.280723
FIRE:   58 12:49:26        8.623289        1.249510
FIRE:   59 12:49:27        8.266652        1.207937
FIRE:   60 12:49:27        7.923837        1.155255
FIRE:   61 12:49:27        7.597832        1.091324
FIRE:   62 12:49:27        7.291533        1.016853
FIRE:   63 12:49:27        7.007773        0.930702
FIRE:   64 12:49:27        6.750621        0.825271
FIRE:   65 12:49:27        6.526012        0.697587
FIRE:   66 12:49:27        6.339260        0.553088
FIRE:   67 12:49:27        6.194506        0.393671
FIRE:   68 12:49:27        6.095710        0.264332
FIRE:   69 12:49:27        6.046530        0.227642
FIRE:   70 12:49:27        6.048844        0.167949
FIRE:   71 12:49:27        6.033729        0.081750
FIRE:   72 12:49:27        6.031441        0.069645
FIRE:   73 12:49:28        6.030949        0.060744
FIRE:   74 12:49:28        6.030215        0.044024
FIRE:   75 12:49:28        6.029614        0.021547
FIRE:   76 12:49:28        6.029455        0.004520
