      Step     Time          Energy          fmax
FIRE:    0 14:58:57      173.942038       99.115805
FIRE:    1 14:58:57      141.547983       66.755519
FIRE:    2 14:58:57      118.507764       45.333557
FIRE:    3 14:58:57      100.243528       31.472786
FIRE:    4 14:58:57       84.761186       23.826556
FIRE:    5 14:58:57       71.478592       20.652262
FIRE:    6 14:58:57       60.112669       18.684883
FIRE:    7 14:58:57       50.300223       17.452152
FIRE:    8 14:58:57       41.675827       16.017209
FIRE:    9 14:58:57       34.077475       13.900356
FIRE:   10 14:58:57       27.541078       11.215959
FIRE:   11 14:58:57       22.166329        8.365951
FIRE:   12 14:58:58       17.992594        5.782292
FIRE:   13 14:58:58       14.944096        3.865856
FIRE:   14 14:58:58       12.836575        2.977020
FIRE:   15 14:58:58       11.413713        3.007083
FIRE:   16 14:58:58       10.404391        3.288441
FIRE:   17 14:58:58        9.586416        3.399302
FIRE:   18 14:58:58        8.823632        3.239938
FIRE:   19 14:58:58        8.071361        2.851598
FIRE:   20 14:58:58        7.351491        2.329257
FIRE:   21 14:58:58        6.712044        1.769245
FIRE:   22 14:58:58        6.192301        1.391541
FIRE:   23 14:58:58        5.804408        1.444853
FIRE:   24 14:58:58        5.533790        1.458054
FIRE:   25 14:58:58        5.354148        1.427846
FIRE:   26 14:58:58        5.256207        1.343129
FIRE:   27 14:58:58        5.256932        1.194860
FIRE:   28 14:58:58        4.766009        1.144609
FIRE:   29 14:58:58        4.353226        1.040195
FIRE:   30 14:58:58        4.027498        0.893235
FIRE:   31 14:58:58        3.793680        0.714469
FIRE:   32 14:58:58        3.634962        0.520257
FIRE:   33 14:58:58        3.502526        0.495372
FIRE:   34 14:58:58        3.344903        0.528872
FIRE:   35 14:58:58        3.163980        0.442932
FIRE:   36 14:58:58        3.006592        0.383608
FIRE:   37 14:58:58        2.877398        0.460896
FIRE:   38 14:58:59        2.723743        0.572879
FIRE:   39 14:58:59        2.531825        0.426518
FIRE:   40 14:58:59        2.355833        0.282664
FIRE:   41 14:58:59        2.223146        0.338175
FIRE:   42 14:58:59        2.120174        0.435665
FIRE:   43 14:58:59        2.035157        0.529058
FIRE:   44 14:58:59        1.932801        0.599831
FIRE:   45 14:58:59        1.796210        0.627497
FIRE:   46 14:58:59        1.666678        0.625615
FIRE:   47 14:58:59        1.557335        0.606779
FIRE:   48 14:58:59        1.458346        0.573670
FIRE:   49 14:58:59        1.343136        0.525400
FIRE:   50 14:58:59        1.190122        0.464230
FIRE:   51 14:58:59        1.026255        0.401997
FIRE:   52 14:58:59        0.882413        0.342841
FIRE:   53 14:58:59        0.770434        0.285021
FIRE:   54 14:58:59        0.692116        0.255462
FIRE:   55 14:58:59        0.636473        0.349651
FIRE:   56 14:58:59        0.593723        0.350315
FIRE:   57 14:58:59        0.570197        0.259878
FIRE:   58 14:58:59        0.541241        0.210919
FIRE:   59 14:59:00        0.518930        0.117116
FIRE:   60 14:59:00        0.518217        0.148123
FIRE:   61 14:59:00        0.515613        0.119324
FIRE:   62 14:59:00        0.512288        0.068718
FIRE:   63 14:59:00        0.510526        0.045563
FIRE:   64 14:59:00        0.510914        0.064050
FIRE:   65 14:59:00        0.510767        0.061170
FIRE:   66 14:59:00        0.510498        0.055605
FIRE:   67 14:59:00        0.510149        0.047770
FIRE:   68 14:59:00        0.509773        0.043449
FIRE:   69 14:59:01        0.509421        0.043006
FIRE:   70 14:59:01        0.509129        0.042502
FIRE:   71 14:59:01        0.508907        0.041925
FIRE:   72 14:59:01        0.508720        0.041191
FIRE:   73 14:59:01        0.508525        0.040260
FIRE:   74 14:59:01        0.508258        0.039081
FIRE:   75 14:59:01        0.507865        0.037597
FIRE:   76 14:59:01        0.507345        0.035748
FIRE:   77 14:59:01        0.506790        0.033461
FIRE:   78 14:59:01        0.506356        0.030580
FIRE:   79 14:59:01        0.506082        0.026894
FIRE:   80 14:59:01        0.505808        0.025258
FIRE:   81 14:59:01        0.505481        0.017035
FIRE:   82 14:59:01        0.505367        0.011096
FIRE:   83 14:59:01        0.505358        0.010613
FIRE:   84 14:59:01        0.505344        0.010425
FIRE:   85 14:59:01        0.505326        0.010145
FIRE:   86 14:59:02        0.505309        0.009774
