      Step     Time          Energy          fmax
FIRE:    0 15:46:42      340.703569      137.300516
FIRE:    1 15:46:42      294.929240      153.714335
FIRE:    2 15:46:42      248.273093      154.051260
FIRE:    3 15:46:43      204.383784      139.474948
FIRE:    4 15:46:43      166.585783      112.755955
FIRE:    5 15:46:43      137.324625       77.021606
FIRE:    6 15:46:43      117.688131       54.484785
FIRE:    7 15:46:43      106.292897       74.967096
FIRE:    8 15:46:43       98.235651       89.845822
FIRE:    9 15:46:43       87.484731       90.154546
FIRE:   10 15:46:43       72.508766       75.389984
FIRE:   11 15:46:43       57.050472       54.570647
FIRE:   12 15:46:43       44.462450       35.860802
FIRE:   13 15:46:43       35.416551       22.220304
FIRE:   14 15:46:43       29.043812       13.384623
FIRE:   15 15:46:43       24.215187       12.869090
FIRE:   16 15:46:44       20.184214       13.065203
FIRE:   17 15:46:44       16.641747       11.710171
FIRE:   18 15:46:44       13.527856        9.589192
FIRE:   19 15:46:44       10.876988        7.242137
FIRE:   20 15:46:44        8.720077        5.037321
FIRE:   21 15:46:44        7.050654        3.167260
FIRE:   22 15:46:44        5.830541        2.082749
FIRE:   23 15:46:44        5.005801        1.827256
FIRE:   24 15:46:44        4.509388        1.897058
FIRE:   25 15:46:44        4.254863        3.494346
FIRE:   26 15:46:44        4.127037        4.766168
FIRE:   27 15:46:44        4.000991        5.268235
FIRE:   28 15:46:44        3.809792        4.775356
FIRE:   29 15:46:44        3.596275        3.523945
FIRE:   30 15:46:44        3.462824        2.057122
FIRE:   31 15:46:44        3.474402        1.386155
FIRE:   32 15:46:44        3.014773        0.669969
FIRE:   33 15:46:44        2.946073        0.766972
FIRE:   34 15:46:44        2.783200        0.715940
FIRE:   35 15:46:44        2.699351        0.593785
FIRE:   36 15:46:44        2.548343        0.496197
FIRE:   37 15:46:44        2.425452        0.387799
FIRE:   38 15:46:44        2.437750        0.463281
FIRE:   39 15:46:44        2.414323        0.365685
FIRE:   40 15:46:45        2.387310        0.259553
FIRE:   41 15:46:45        2.375824        0.168060
FIRE:   42 15:46:45        2.375013        0.169172
FIRE:   43 15:46:45        2.373484        0.171298
FIRE:   44 15:46:45        2.371397        0.174244
FIRE:   45 15:46:45        2.368947        0.177731
FIRE:   46 15:46:45        2.366304        0.181410
FIRE:   47 15:46:45        2.363578        0.184893
FIRE:   48 15:46:45        2.360790        0.187792
FIRE:   49 15:46:45        2.357583        0.189950
FIRE:   50 15:46:45        2.353802        0.190817
FIRE:   51 15:46:45        2.349321        0.189842
FIRE:   52 15:46:45        2.344171        0.186554
FIRE:   53 15:46:45        2.338626        0.180706
FIRE:   54 15:46:45        2.332993        0.172559
FIRE:   55 15:46:45        2.327162        0.162990
FIRE:   56 15:46:45        2.320714        0.152561
FIRE:   57 15:46:45        2.313869        0.140042
FIRE:   58 15:46:45        2.307498        0.121237
FIRE:   59 15:46:45        2.301685        0.091072
FIRE:   60 15:46:45        2.297333        0.046453
FIRE:   61 15:46:45        2.295667        0.030744
FIRE:   62 15:46:45        2.295590        0.025481
FIRE:   63 15:46:45        2.295486        0.016434
FIRE:   64 15:46:46        2.295417        0.009114
