      Step     Time          Energy          fmax
FIRE:    0 15:51:30      197.817942       96.004495
FIRE:    1 15:51:30      151.804060       56.329440
FIRE:    2 15:51:30      123.603502       33.967971
FIRE:    3 15:51:30      105.931978       30.491034
FIRE:    4 15:51:30       92.420714       34.927433
FIRE:    5 15:51:30       79.165712       35.118581
FIRE:    6 15:51:30       65.596096       31.251715
FIRE:    7 15:51:30       52.933614       25.482845
FIRE:    8 15:51:30       42.304316       19.609148
FIRE:    9 15:51:30       34.171697       14.626454
FIRE:   10 15:51:30       28.400765       10.824323
FIRE:   11 15:51:31       24.510306        8.068420
FIRE:   12 15:51:31       21.870407        6.739630
FIRE:   13 15:51:31       19.859719        7.090076
FIRE:   14 15:51:31       18.008115        7.685372
FIRE:   15 15:51:31       16.120538        7.322503
FIRE:   16 15:51:31       14.297256        6.242835
FIRE:   17 15:51:31       12.786813        4.959824
FIRE:   18 15:51:31       11.765689        4.077117
FIRE:   19 15:51:31       11.193910        3.877151
FIRE:   20 15:51:31       10.841867        3.962015
FIRE:   21 15:51:31       10.462983        3.862118
FIRE:   22 15:51:31        9.979296        3.450659
FIRE:   23 15:51:31        9.521905        2.738162
FIRE:   24 15:51:31        9.258019        2.800414
FIRE:   25 15:51:31        9.171126        3.315880
FIRE:   26 15:51:31        8.060353        1.181686
FIRE:   27 15:51:31        7.701880        1.051754
FIRE:   28 15:51:31        7.676572        1.516748
FIRE:   29 15:51:31        7.391880        0.817956
FIRE:   30 15:51:31        7.186147        0.664867
FIRE:   31 15:51:31        7.172960        0.937337
FIRE:   32 15:51:31        7.137453        0.830669
FIRE:   33 15:51:32        7.078185        0.674709
FIRE:   34 15:51:32        7.012550        0.621297
FIRE:   35 15:51:32        6.955237        0.634395
FIRE:   36 15:51:32        6.911655        0.642588
FIRE:   37 15:51:32        6.876026        0.644238
FIRE:   38 15:51:32        6.836632        0.639372
FIRE:   39 15:51:32        6.777595        0.627199
FIRE:   40 15:51:32        6.692244        0.606556
FIRE:   41 15:51:32        6.586655        0.576329
FIRE:   42 15:51:32        6.476156        0.537959
FIRE:   43 15:51:32        6.361004        0.511125
FIRE:   44 15:51:32        6.210142        0.543816
FIRE:   45 15:51:32        5.993903        0.572062
FIRE:   46 15:51:32        5.744254        0.580047
FIRE:   47 15:51:32        5.501657        0.553071
FIRE:   48 15:51:32        5.253411        0.563195
FIRE:   49 15:51:32        4.991891        0.582433
FIRE:   50 15:51:33        4.720572        0.594860
FIRE:   51 15:51:33        4.440345        0.586950
FIRE:   52 15:51:33        4.146403        0.604829
FIRE:   53 15:51:33        3.837362        0.607468
FIRE:   54 15:51:33        3.521078        0.576028
FIRE:   55 15:51:33        3.207079        0.535879
FIRE:   56 15:51:33        2.897682        0.555557
FIRE:   57 15:51:33        2.590735        0.588378
FIRE:   58 15:51:33        2.285409        0.606409
FIRE:   59 15:51:33        1.985637        0.627279
FIRE:   60 15:51:33        1.695924        0.638590
FIRE:   61 15:51:33        1.419622        0.640709
FIRE:   62 15:51:33        1.158236        0.635215
FIRE:   63 15:51:33        0.916317        0.618025
FIRE:   64 15:51:33        0.701292        0.589516
FIRE:   65 15:51:33        0.520126        0.544983
FIRE:   66 15:51:33        0.378009        0.510239
FIRE:   67 15:51:33        0.281706        0.546867
FIRE:   68 15:51:33        0.236023        0.573068
FIRE:   69 15:51:33        0.078512        0.435066
FIRE:   70 15:51:33        0.031660        0.306467
FIRE:   71 15:51:33       -0.002658        0.299494
FIRE:   72 15:51:33       -0.036784        0.278433
FIRE:   73 15:51:33       -0.062319        0.237820
FIRE:   74 15:51:33       -0.089078        0.209126
FIRE:   75 15:51:33       -0.124148        0.174550
FIRE:   76 15:51:34       -0.151864        0.136233
FIRE:   77 15:51:34       -0.167223        0.131791
FIRE:   78 15:51:34       -0.170403        0.140812
FIRE:   79 15:51:34       -0.172637        0.122204
FIRE:   80 15:51:34       -0.175774        0.089111
FIRE:   81 15:51:34       -0.178118        0.051028
FIRE:   82 15:51:34       -0.178824        0.039216
FIRE:   83 15:51:34       -0.178893        0.037010
FIRE:   84 15:51:34       -0.179020        0.032753
FIRE:   85 15:51:34       -0.179180        0.031158
FIRE:   86 15:51:34       -0.179344        0.030146
FIRE:   87 15:51:34       -0.179488        0.028904
FIRE:   88 15:51:34       -0.179594        0.027426
FIRE:   89 15:51:34       -0.179661        0.025714
FIRE:   90 15:51:34       -0.179707        0.023620
FIRE:   91 15:51:34       -0.179754        0.021180
FIRE:   92 15:51:34       -0.179827        0.020477
FIRE:   93 15:51:34       -0.179942        0.022556
FIRE:   94 15:51:34       -0.180091        0.024679
FIRE:   95 15:51:34       -0.180243        0.026695
FIRE:   96 15:51:34       -0.180372        0.028366
FIRE:   97 15:51:34       -0.180496        0.029437
FIRE:   98 15:51:34       -0.180664        0.029681
FIRE:   99 15:51:34       -0.180891        0.028833
FIRE:  100 15:51:35       -0.181138        0.026576
FIRE:  101 15:51:35       -0.181384        0.022754
FIRE:  102 15:51:35       -0.181669        0.017667
FIRE:  103 15:51:35       -0.181972        0.011964
FIRE:  104 15:51:35       -0.182220        0.012616
FIRE:  105 15:51:35       -0.182484        0.012320
FIRE:  106 15:51:35       -0.182707        0.012206
FIRE:  107 15:51:35       -0.182885        0.010650
FIRE:  108 15:51:35       -0.182912        0.005851
